sentence,is_goal
"As a member , BRENNTAGWE affirms BRENNTAGWE com -mitment to the Unit -ed Nations Global Compact ( UNGC ten principles in the areas of human rights , labour standards , environmental protection and fighting corruption .",N
"the UNGC ’s ten principles in the areas of human rights , labour standards , environmental protection and fighting corruption complement the standards which BRENNTAGWE apply in evaluating all of BRENNTAGWE busi -ness activities .",N
BRENNTAGWE are continuously working to i m -prove and develop sustainability as a core value within BRENNTAGWE .,Y
"Please feel free to send BRENNTAGWE any questions or suggestions by email to BRENNTAGWE or online at www.brenntag.com/sustainability.Best wishes , Steven HollandChief Executive Officer Brenntag GroupMülheim an der Ruhr , June 2016„ALSO WITH REGARD TO SUSTAINABILITY , BRENNTAGWE AIM TO SET STANDARDS IN BRENNTAGWE INDUSTRY AND WORK TO ENHANCE SUSTAINABILITY WITHIN BRENNTAGWE AND ACROSS THE SUPPLY CHAIN.“STEVEN HOLLAND , CEOCEO LETTER 3BRENNTAG AG SUSTAINABILITY REPORT 2016CONSIDER THE FUTUREFor",Y
"BRENNTAGWE do not identify success purely in terms of BRENNTAGWE pursuit and fulfilment of commercial objectives , but BRENNTAGWE also aim to achieve sustainable value creation and to live up to BRENNTAGWE re -sponsibility towards the environment and to society at large .",N
BRENNTAGWE is the number one in global chemical distribution and also aims to assume a leading position when it comes to sustainability .,Y
"Safety , health and environmental protection , efficient use of resources and compliance are the cornerstones of BRENNTAGWE responsible practices in the interests of BRENNTAGWE employees , suppliers and customers , as well as society as a whole – and only by liv -ing Safety , health and environmental protection , efficient use of resources and compliance can BRENNTAGWE achieve success .",N
BRENNTAGWE seek to consider environmental as well as social issues in BRENNTAGWE activities and to factor in the ef -fects of BRENNTAGWE business operations when making strategic decisions .,N
"To consider , BRENNTAGWE have established corresponding stan dards and processes in BRENNTAGWE inter - national corporate structures .",N
"CHEMICAL MANUFACTURERS PURCHASING TRANSPORT STORAGE/ Network with more than 530 locations in 74 countries/ Local purchasing teams and global sourcing organization with more than 1,000 experts / Cost of materials in 2015 : EUR 8.02 billion/ Several thousand suppliers worldwide/ Full - line product portfolio with more than 10,000 industrial and specialty chemical productsOur suppliersCREATING VALUE – A CENTRAL FUNCTION IN THE SUPPLY CHAIN BRENNTAGWEslogan “ ConnectingChemistry ” stands for BRENNTAGWE self - image as well as BRENNTAGWE ob -jective and the promise that BRENNTAGWE make to all of BRENNTAGWE partners in the supply chain .",N
"As a provider of a full - line product portfolio and as a “ one - stop - shop ” , BRENNTAGWE plays a key role in the chemical industry ’s value chain and , as a strategic partner , contributes to greater efficiency .",N
customersCOMPANY PROFILEBrenntag is the global market leader in chemical distribution .,N
"Connecting chemical manufacturers ( BRENNTAGWE suppliers ) and chem -ical users ( BRENNTAGWE customers ) , BRENNTAGWE provide both complete distribu -tion solutions as well as individual chemical products .",N
BRENNTAGWE distributes industrial and specialty chemicals for thou -sands of suppliers .,N
"BRENNTAGWE maintain a global network with more than 530 locations in 74 countries in the regions North America , Latin America , EMEA ( Europe , Middle East & Africa ) and Asia Pacific .",N
"BRENNTAGWE serve around 180,000 customers worldwide in var -ious end - market industries .",N
"With BRENNTAGWE corporate strategy BRENNTAGWE pursues the goal to be the preferred distributor for both specialty and industrial chemicals for BRENNTAGWE customers and suppliers and , at the same time , the industry leader in safety , growth and profitability .",Y
"SUSTAINABILITY REPORT serves as a guideline as to how BRENNTAGWE See the inside front cover for BRENNTAGWE KEY FIGURES for 2015.intends to position BRENNTAGWE in the chem -ical distribution market in the future , in order to continue BRENNTAGWE successful de -velopment .",N
"Efficiency , safety and re -sponsibility towards BRENNTAGWE employees are fundamental aspects of BRENNTAGWE corporate strategy and therefore also of BRENNTAGWEsustainability strategy./ BRENNTAGWE are the safest chemical distributor , striving for zero accidents and incidents./",Y
"Throughout the world , BRENNTAGWE connect chemistry by providing the most effective industry channel for BRENNTAGWE customers and suppliers./ BRENNTAGWE are the global leader in all BRENNTAGWE chosen markets and industries , offering the most professional sales & marketing organization in the industry , ensuring consistently high standards every day , everywhere./ BRENNTAGWE strive to provide a working environment where the best people want to work./ BRENNTAGWE aim to generate sustainable and high returns for BRENNTAGWE shareholders and all other stakeholders.2020",Y
"key issues for Brenntag are issues which may directly affect BRENNTAGWE business development , relationships with BRENNTAGWE business partners as well as BRENNTAGWE reputation .",N
The results show that the understanding of sustainability at BRENNTAGWE is closely linked with BRENNTAGWE own value chain and that key issues for Brenntag derive from BRENNTAGWE business activities and BRENNTAGWE service portfolio .,N
BRENNTAGWE raise BRENNTAGWE employees ’ awareness accordingly and provide our employees with further training .,N
"In this way , BRENNTAGWE intend to shape BRENNTAGWE sus -tainability strategy at a global level and to develop our sus -tainability strategy further .",N
"BRENNTAGWE has two committees working in the area of sustain - ability : an international project team , which consists of repre - sentatives of the areas HSE , Compliance , Human Resources , Operations , Purchasing and Communications , is responsible for the systematic development of sustainability at Group level .",N
BRENNTAGWE has a long and successful track record of acquisitions .,N
BRENNTAGWE have exe -cuted more than 30 transactions since 2010 alone .,N
"BRENNTAGWE hold a large number of face - to - face meetings and make many on - site visits in order to understand , analyze and assess the history , the current situation and the potential of the target business .",N
"Alongside established processes in the area of environmental protection , BRENNTAGWE is also required to regularly disclose any contamination that may have occurred on BRENNTAGWE sites and any remediation measures implemented in response .",N
BRENNTAGWE is likewise obliged to disclose BRENNTAGWE corporate governance structure and BRENNTAGWE compliance requirements .,N
BRENNTAGWE takes the due diligence pro -cess very seriously .,N
"Through a materiality analysis , BRENNTAGWE acquire an overview of the status quo of BRENNTAGWE and of the quality of BRENNTAGWE processes .",N
It is only in this way that BRENNTAGWE can identify possible risks early on and consider possible risks in further negotia -tions and in BRENNTAGWE subsequent integration into BRENNTAGWE .,N
"In the event of the due diligence pro -cess revealing any shortcomings or if key issues remain unresolved , BRENNTAGWE will generally ask the target to permit a more in - depth review .",N
BRENNTAGWE will then decide on a case - by - case basis how to proceed in case of insufficient clarifica -tion or even whether to terminate the negotiations outright .,N
SUSTAINABILITY AT BRENNTAGWE is a chemical distributor which differentiates BRENNTAGWE from BRENNTAGWE competitors through the high level of quality of BRENNTAGWE products and services as well as BRENNTAGWE strong customer focus and the excellent level of service provided by BRENNTAGWE employees .,N
"Using management systems , certificates and audits , BRENNTAGWE con - stantly verify and ensure compliance with the quality stand -ards required of BRENNTAGWE and which BRENNTAGWE BRENNTAGWE define .",N
"Through various mechanisms , BRENNTAGWE obtain customer feedback for the continuous monitoring and",N
The basis for quality management within BRENNTAGWE is the internationally applicable ISO 9001 standard .,N
"With the issues of safety , environmental pro - tection , responsibility in the supply chain as well as employees and social commitment in mind , BRENNTAGWE uses various internal control and risk management systems and has established a compliance organization within BRENNTAGWE",N
", BRENNTAGWE is committed to acting honestly , fairly and in good faith in BRENNTAGWE dealings with customers , suppliers and competitors as well as with BRENNTAGWE employees and the public .",N
"BRENNTAGWE is a glo - bal company and is therefore subject to a large number of laws , directives , regu -lations and ordinances .",N
", there are further BRENNTAGWE guidelines which stipulate compliance re -quirements , including an anti - corruption guideline which was implemented throughout BRENNTAGWE in May BRENNTAGWE attaches great importance to respect for human rights within BRENNTAGWE sphere of influence .",N
"In signing up to the Unit -ed Nations Global Compact ( UNGC , BRENNTAGWE has undertaken to enshrine ten principles in the fields of human rights , labour standards , environmental protection and fight -ing corruption as an integral part of BRENNTAGWE corporate strategy .",N
"Furthermore , the regular meetings of the Supervisory Board ’s Audit Committee include reporting on compliance and whistle - blowing as well as on the ongoing development of the Group - wide compliance management system .",N
"the Supervisory Board ’s Audit Committee supports Brenntag AG ’s Governance , Risk & Compliance ( GRC ) manager as an internal advisory body .",N
"At a regional level , the Regional Executive Management is responsible for the issue of compliance .",N
"BRENNTAGWE compliance programme focuses particularly on observing anti - trust law requirements as well as environ - mental and health protection , since it is here that BRENNTAGWE sees the greatest risks .",N
a global training programme for Brenntag ’s Code of Business Conduct and Ethics is being gradually rolled out through,N
Brenntag companies pursue dialogue with Brenntag companies customers and suppliers worldwide at the many trade fairs and events where BRENNTAGWE presents BRENNTAGWE SUSTAINABILITY REPORT 2016 in future .,N
BRENNTAGWE pursues dialogue with BRENNTAGWE stakeholders in various ways .,N
BRENNTAGWE pursue dialogue with business partners worldwide at the many trade fairs where BRENNTAGWE presents BRENNTAGWE and BRENNTAGWE portfolio .,N
"BRENNTAGWE maintains an active dialogue concerning indus -try - specific issues as a member of relevant technical and in -dustry associations at a local , regional and international level .",N
BRENNTAGWEemployees are regularly kept informed of current issues and company matters through Brenntag ’s employees line managers and also through BRENNTAGWE internal print and online media .,N
"At BRENNTAGWE various locations , BRENNTAGWE pursues lively dialogue with local residents and local authorities .",N
"BRENNTAGWE engages in regular , transpar -ent and target - group - specific dialogue with BRENNTAGWE stakeholders .",N
"BRENNTAGWE aims to notify BRENNTAGWE various target groups prompt -ly and appropriately regarding develop -ments at BRENNTAGWE and BRENNTAGWE objectives , thus enabling The stakeholders to ob -tain a comprehensive picture of BRENNTAGWE and BRENNTAGWE business activities .",N
"BRENNTAGWE want to be the safest chemical distributor worldwide , which is why BRENNTAGWE operate in line with the “ safety first ” principle .",Y
BRENNTAGWE are bound by the highest standards in the industry and adopt policies which often exceed the statutory requirements .,N
BRENNTAGWE are working continuously to further enhance safety within BRENNTAGWE .,N
BRENNTAGWE invest in BRENNTAGWE infrastructure and train BRENNTAGWE employees with enhance in mind .,N
"HSE STRATEGY AND MANAGEMENTBrenntag has implemented a global health , safety and envi -ronment ( HSE ) strategy .",N
"Commitment to the principles of BRENNTAGWE Responsible Care / Responsible Distribution programme/ Product stewardship and product safety/ Occupational health and safety , including transportation/ Comprehensive protection of the environment ( air , water , soil , raw materials and waste)The BRENNTAGWE approach BRENNTAGWE manages HSE data in various databases at regional level and also forwards HSE data in various databases at regional level to the Regional Executive Management .",N
BRENNTAGWE has implemented various management systems in the field of HSE in order to ensure BRENNTAGWE compliance with applic able standards .,N
73PRODUCT STEWARDSHIP AND SAFETYBrenntag takes appropriate measures to ensure the proper handling of BRENNTAGWE prod - ucts while our prod - ucts are under BRENNTAGWE stewardship .,N
BRENNTAGWE produce product dos -siers and safety instructions and see to disposal .,N
BRENNTAGWE act in accordance with the applicable standards and regulations and also cooperate closely with the industry national and regional umbrella associ - ations which BRENNTAGWE national organizations belong to .,N
"For many years now , BRENNTAGWE has taken part in the Responsible Care / Responsible Distribution ( RC / RD ) pro -gramme of the International Council of Chemical Trade Associations ( ICCTA ) .",N
"As such , BRENNTAGWE implement the eight guidelines laid down in the BEST initiative ( Brenntag Enhanced Safety Thinking cov - ering the following areas : /Legal requirements /Management of risk /Policies and documentation /Provision of information /Training /Emergency response /Ongoing improvements /Community interactionThe",N
"Due to the fact that there is no RC / RD programme offered by national organiza -tions in every country in which BRENNTAGWE operates , BRENNTAGWE are currently working on de -veloping an internal solution for BRENNTAGWE to ensure that BRENNTAGWE adhere to and can evaluate the guidelines in force in every country in which Brenntag operates",N
BRENNTAGWE has been participating in the chemical industry ’s “ Responsible Care ” programme .,N
"As part of BRENNTAGWE business operations as a distributor , importer , formulator and , in certain cases , as a producer of chemicals , BRENNTAGWE is affected by Our compliance programme in many ways .",N
"With BRENNTAGWE trans - national Our compliance programme team , consisting of a European network of ex -perienced HSE and Our compliance programme experts , BRENNTAGWE is well equipped to meet the numerous requirements of regulation in full .",N
BRENNTAGWE is also continuously investing in BRENNTAGWE equipment and infrastructure so as to optimize plant safety and work processes at BRENNTAGWE locations and thus further minimize safety risks and sources of accidents .,N
BRENNTAGWEemployees receive training covering the correct use of machinery and equipment and wear suitable personal protective gear .,N
"Together with regular training sessions and the established safety measures and processes , BRENNTAGWE has succeeded in considerably reducing BRENNTAGWE accident rate over the past five years thanks to Brenntag Latin Ameri -ca ’s comprehensive CASA programme .",N
regulation demonstrates once again how impor -tant the issue of occupational safety is to our company and that BRENNTAGWE are not go - ing to simply settle for the positive de -velopment in the incidence of accidents which has been achieved over the past few years .,N
"Additionally , three global themes were identified which BRENNTAGWE will focus on as BRENNTAGWE continues to develop BRENNTAGWE safety culture:1 . More regular and more in - depth communication of all safety - re lated aspects , to further raise risk awareness within the com -pany ( e. g. by means of reports on real cases and training in the safety standard)2 . Empowering employees to get more involved in safety pro - jects and initiatives and to take ownership for safety3 .",N
"In the field of “ Communication ” , for example , BRENNTAGWE expect all employees to immediately intervene when noticing hazardous behaviour , regardless the position of the people involved.21 BRENNTAGWE SUSTAINABILITY REPORT 2016",N
"BRENNTAGWE endeavour to save resources or use resources optimally around the world , and to minimize the impact that BRENNTAGWE business activities have on the soil , water and air .",Y
"At BRENNTAGWE locations BRENNTAGWE i m -plement diverse measures in order to use electricity , fuel , water and other resources as efficiently as possible and to reduce BRENNTAGWE emissions .",N
"At the same time , BRENNTAGWE supports BRENNTAGWE customers with sustainable solutions and helps to preserve the environment with ecologically efficient products , processes and services .",N
BRENNTAGWE are therefore showing the figures for the first quarter of 2016 as an example only .,N
BRENNTAGWE will report full - year figures for BRENNTAGWE starting with the 2016 financial year .,N
The following practical examples from BRENNTAGWEre -gions provide an insight into the nu -merous measures which BRENNTAGWE has implemented to manage the issue of resource efficiency .,N
key issues for Brenntag is then used in other processes and procedures such as in chemical dilution .,N
GRI G4 - 22Connecting Chemistry BRENNTAGWE markets solid and liquid chemicals .,N
"There is therefore a great amount of reconditioned units in circulation at BRENNTAGWE , and as such BRENNTAGWE take a leading role in the in - dustry .",N
The large proportion of reusable packaging and reconditioned units within BRENNTAGWE contributes to reducing the resources used to manufacture new pack -aging and reducing waste overall .,N
"of key issues for Brenntag are in circulation world - wide ( at BRENNTAGWE and BRENNTAGWE customers ) , with a capacity in excess of 1 million tonnes .particularly",N
"sustainable25 BRENNTAGWE SUSTAINABILITY REPORT 2016 ENVIRONMENTAL PROTECTIONTRANSPORT / FLEET MANAGEMENTAs a distributor , BRENNTAGWE maintains BRENNTAGWE own fleet of vehicles .",N
"In this context , BRENNTAGWE maintain a close dialogue with manufacturers and with the national umbrella associations of chemicals dealers , with the common goal of reducing the volume of waste in the industry and increasing recycling rates .",N
"BRENNTAGWEemployees have in - depth expertise in the fields of chemicals , components , procedures , processes and applica - tion technologies .",N
advantage of key issues for Brenntag is that key issues for Brenntag directly foster safe and environmentally efficient driving .,N
"BRENNTAGWE work continuously on minimizing the environmental impacts of BRENNTAGWE business activities on the soil , water and air .",N
"Due to The locations many years of industrial use , there is historical soil and groundwater contamination at many The locations and acquired locations , which BRENNTAGWE are combatting with appropri - ate rehabilitation measures .",N
"In the rare event that chemicals are released during process - ing , when being placed in or moved between containers or during transportation , BRENNTAGWE takes the appropriate steps to rectify the problem , clean up and dispose chemicals as quickly as possible .",N
"EXHAUST AIR PURIFICATION AT THE BRENNTAGWE SITE IN WIENER NEUSTADT , THE BRENNTAG SITE IN WIENER NEUSTADT , AUSTRIAThe Brenntag location in Wiener Neustadt , Austria WIENER NEUSTADT runs a highly efficient exhaust air purification system which ensures that the vapours produced when solvents are processed are not released into the environment and that only purified ex -haust air is released .",N
A combustion process then occurs in the catalytic converter in which key issues for Brenntag are CASE STUDYWATER TREATMENT :,N
"BRENNTAGWE assists BRENNTAGWE cus tomers in developing sustainable solutions with a wide array of adhesives , coatings and construction chemicals .",N
"BRENNTAGWE sells key issues for Brenntag to customers in the processing industry throughout the world and supports customers in the processing industry throughout Europe with technical and application - specific advice , for example by working on the perfect formulation for a spe -cific construction material at BRENNTAGWE application laboratories in France , Hungary and Poland .",N
"With the SAFE - TAINER ™ system and the chemical service model , BRENNTAGWE offers asphalt laboratories a safe and future - proof solution for the use of trichlorethylene ( tri ) .",N
"Until an alternative is introduced at the labora - tories , BRENNTAGWE is offering needs - based supplies of trichlorethylene ( tri while observing uniform , strict safety requirements .",N
"The established SAFE - TAINERTM system developed by SAFECHEM Europe GmbH allows the solvent to be handled , stored , trans -ported and disposed of safely .",N
The established SAFE - TAINERTM system developed by SAFECHEM Europe GmbH is also part of an extensive chemical service model devised by BRENNTAGWE in cooperation with SAFECHEM Europe GmbH in 2013 for such applications .,N
"As the global market leader in chemical distribution , BRENNTAGWE serves as an important link between the manufacturers of chemical products and the companies that process chemical products .",N
BRENNTAGWE is aware of the re - sponsibility which comes with a key role in the chemical in -dustry ’s supply and value chain .,N
BRENNTAGWE maintain a close and ongoing dialogue with BRENNTAGWE suppliers and customers through BRENNTAGWE regional and global procurement and distribu -tion organizations as well as BRENNTAGWE HSE structures .,N
a code of conduct for our suppliers outlines what BRENNTAGWE expect of our suppliers in the above - mentioned areas .,N
"In order to verify compliance with a code of conduct for our suppliers , BRENNTAGWE reserve the right to invite suppliers to undergo a suitability assess - ment or audit .",N
"Within the scope of BRENNTAGWE membership of the “ Together for Sus -tainability ” industry initiative , BRENNTAGWE has required a defined number of BRENNTAGWE suppliers to undergo sustainability as - sessments every year since mid-2015 .",N
"BRENNTAGWE work together with EcoVadis , a leading provider of sustainability as - sessments and well established in the chemical industry .",N
"BRENNTAGWE reviews the findings and , based on BRENNTAGWE suppliers ’ performance , may require its suppliers to make improvements or to undergo a supplementary audit .",N
"In connec -tion with this , in the 2015 year under review around 100 BRENNTAGWE purchasing staff underwent internal training covering the assessment procedure and thereby also sustainability issues , enabling around 100 Brenntag purchasing staff to assist and to advise around 100 Brenntag purchasing staff suppliers during the review process .",N
", BRENNTAGWE has registered an in -creasing demand for information on sustainability issues – particularly on the part of BRENNTAGWE customers – and is regularly asked to document BRENNTAGWE sustainability performance .",N
BRENNTAGWE are pleased to respond to these needs by making BRENNTAGWE principles and activities in information on sustainability issues – particularly on the part of its customers – transparent and measurable in vari - ous ways .,N
"With exceed , BRENNTAGWE is among the top 6 % of companies in BRENNTAGWE industry category and among the top 12 % of all of the companies as -sessed by UN Global Compact/ in all categories .",N
BRENNTAGWE are keen to achieve further scoring improvements by continuously refining BRENNTAGWE sustainability strategy and further improving BRENNTAGWE sustain - ability performance as well as BRENNTAGWE documentation .,Y
"As a distributor , BRENNTAGWE plays a major role in safeguarding the seamless flow of information along the supply chain and must ensure complete product documentation .",N
", BRENNTAGWE has been a member of the chem - ical industry ’s “ Together for Sustainability ” initiative ( TfS ) – as the first and , so far , only chemical distributor .",N
"As part of the network , BRENNTAGWE is able to adopt established standards and instruments , and thereby further professionalize BRENNTAGWE own sustainability approach .",N
"Since October 2014 , BRENNTAGWE has been involved in various working groups within Brenntag Latin Ameri -ca ’s comprehensive CASA programme and currently has “ onboarding ” status , while working to meet all of Together for Sustainability ” initiative ( TfS ’ admissibility criteria .",N
"BRENNTAGWE intend to complete this phase in 2016 with a further improvement in BRENNTAGWE EcoVadis , a leading provider of sustainability as - sessments and well established in the chemical industry scoring .",N
"BRENNTAGWE believe that participation in a global employee survey Together for Sustainability ” initiative ( TfSHSE will enhance BRENNTAGWE brand awareness , since the findings are shared among our em - ployees Together for Sustainability ” initiative ( TfS .",N
BRENNTAGWE offer good working conditions and a modern working environment and BRENNTAGWE encourage BRENNTAGWE employees ’ personal and professional development in a tar -geted manner .,N
"HUMAN RESOURCES MANAGEMENTBrenntag ’s Global Human Resources Director reports directly to the CEO and is responsible for developing a global HR strategy , for implementing corresponding measures together with the HR officers in the regions and for centrally manag -ing corresponding measures .",N
", BRENNTAGWE aims to provide and enhance manage - ment skills as well as to encourage the systematic sharing and transfer of knowledge at management level .",Y
"2016Employee development at BRENNTAGWE is also supported by the use of a global e - learning management system , which is being introduced by the end of 2016 .",N
"Thanks to the wide array of apprenticeships on offer in vari - ous commercial and industrial occupational areas , BRENNTAGWE See also the “ E - learning at BRENNTAGWE ” case study on page 36.See also “ Safety ” chapter from page 18.trains junior employees in a manner that is both targeted and forward - look -ing .",N
"BRENNTAGWE offers young people comprehensive , theoretical and prac -tice - orientated occupational training via the dual education and training system in Germany , Austria and Swit - zerland ( DACH region ) .",N
"BRENNTAGWE is currently training almost 80 young people across Swit - zerland ( DACH region to become management assistants in wholesale and foreign trade , logistics management assistants , laboratory technicians and warehouse staff .",N
"With BRENNTAGWE job - specific training pro -gramme , BRENNTAGWE provides graduates in Ger many with a way in to the world of work .",N
"to development opportun - ities , encouraging employees to play a part in shaping BRENNTAGWE is an important aspect that helps to promote employee motivation and loyalty .",N
"Since 2015 , for example , Brenntag Iberia has presented the “ In -nova Awards ” for the best ideas , while in Germany , every employee has the op -portunity to actively participate in the development of ideas via the “ In4Put ” system .",N
", BRENNTAGWE takes measures to promote the health of BRENNTAGWE employees and its employees work - life balance .",N
2016Brenntag ’s implementation of the contents of the RC / RD programme had also showed that BRENNTAGWE can harmonize some existing regional concepts and implement some existing regional concepts globally in order to adopt proven practices .,N
2016Brenntag ’s implementation of the contents of the RC / RD programme believe that BRENNTAGWE have to use these strengths to BRENNTAGWE benefit .,N
"BRENNTAGWE have embarked on a journey together and BRENNTAGWE know where a journey together should take BRENNTAGWE.I , Global Human Resources Director , BRENNTAGWE SUSTAINABILITY REPORT 2016EMPLOYEE INVOLVEMENTIn",N
", encouraging employees to play a part in shaping BRENNTAGWE is an important aspect that helps to promote employee motivation and loyalty .",N
"Since 2015 , for example , Brenntag Iberia has presented the “ In -nova Awards ” for the best ideas , while in Germany , every employee has the op -portunity to actively participate in the development of ideas via the “ In4Put ” system .",N
", BRENNTAGWE takes measures to promote the health of BRENNTAGWE employees and its employees work - life balance .",N
"The result of the issues of safety , environmental pro - tection , responsibility in the supply chain as well as employees and social commitment is a cultural and social diversity which BRENNTAGWE use constructively .",N
"Every year , BRENNTAGWEManagement Board recognizes out - standing employees through Brenntag ’s Management Board Emineo Awards .",N
", BRENNTAGWE is present as an employer , a business partner and a neighbour in local communities in many different countries and cities .",N
"BRENNTAGWE see BRENNTAGWE as part of local communities in many different countries and cities , as a “ corpor -ate citizen ” , and BRENNTAGWE maintain a lively dialogue with local communities in many different countries and cities and aim to contribute to a positive environment .",Y
"In many cases , BRENNTAGWE supports our em - ployees , who collect money and donations in kind and invest their expertise , time and manpower in support of charitable causes contribution either financially and organizationally or else by releasing our em - ployees , who collect money and donations in kind and invest their expertise , time and manpower in support of charitable causes from our em - ployees , who collect money and donations in kind and invest their expertise , time and manpower in support of charitable causes work duties .",N
"Through open days and internships , BRENNTAGWE give pupils and students in countries such as Malaysia , Romania , Belgium and Finland the opportunity to develop an understanding of the work of a chemical distribu -tor and to acquire practical experience .",N
"Through trainee pro - grammes and scholarships , BRENNTAGWE supports young talents in our industry in countries such as Poland , Spain and Germany .",N
BRENNTAGWE provide information on training and career opportunities at events worldwide .,N
"PERSONAL AND LOCALLocal needs vary in line with governmental , cultural and struc -tural differences in the many countries in which BRENNTAGWE operates .",N
"Since BRENNTAGWE aim to provide assistance exactly where assistance is needed , Brenntag ’s employeesmake Brenntag ’s employees own decisions on the extent of Brenntag ’s employees commitment .",N
"As a reward for the charitable commit - ment of BRENNTAGWE already extremely active employees and a further See also case study on page 39.incentive to engage in more community projects , every month under a code of conduct for our suppliers BRENNTAGWE provides a fixed amount as a further support for a site whose employees demonstrate a particularly strong level of commit -ment .",N
"In the world and Latin America , for instance , BRENNTAGWE provide local fire brigades as well as police and emer -gency services with financial support and equipment and make available to local fire brigades as well as police and emer -gency services BRENNTAGWE expertise and BRENNTAGWE sites for seminars and joint rescue exercises .",N
BRENNTAGWE help the children to pre - pare for Brenntag Latin Ameri -ca ’s comprehensive CASA programme through special study guides and chemistry sets for experiments and by visiting schools .,N
CASE STUDY“Private - sector companies like Brenntag Latin America are supporting science education by engaging CASE STUDY“Private - sector companies like Brenntag North America communities in science education programmes .,N
"BRENNTAGWE is leading the way among BRENNTAGWE industry peers as BRENNTAGWE outreach efforts encourage students and edu -cators to do better , try harder , reach higher when it comes to STEM education .",N
BRENNTAGWE reports on BRENNTAGWE sustainability activities every year .,N
"As a rule , SUPPLIER CODE OF CONDUCT covers all Group companies and business units in which BRENNTAGWE has a shareholding of more than 50 % .",N
"BRENNTAGWE have prepared SUPPLIER CODE OF CONDUCT in accordance with the principles of balance , clarity , accuracy , timeliness , comparability and reliability .",N
"However , BRENNTAGWE are unable to completely rule out the possibility of transmission errors .",N
", BRENNTAGWE does not record The locations ’ energy consumption figures in a consolidated format.3G4 - 12 Description of supply chain p. 4 – 5 , 30G4",N
"BRENNTAGWE will report figures for BRENNTAGWE for 2016 from the 2016 financial year onwards.7 , 8G4 - EN16",N
BRENNTAGWE will report figures for BRENNTAGWE for 2016 from the 2016 financial year onwards.7,N
Percentage of new suppliers that were screened using environmental BRENNTAGWE aims to analyze 50 % of BRENNTAGWE total chemical spend ( in EUR ) with sustain -ability assessments or audits by 2020 .,Y
BRENNTAGWE do not distinguish between new and existing suppliers in these assessments.8Environmental,N
"BRENNTAGWE record the precise reason for the complaint , verify reports and , in case of a violation of compliance rules and regulations , initiate appropriate measures .",N
"Accordingly , BRENNTAGWE do not explicitly report the number of complaints relating to environmental impacts.8LABOUR",N
